x,y,class
-0.02228156997196823,-0.0,1.0
0.07450184588195936,0.003755552155692422,1.0
-0.03643755821905829,-0.0036829090628653647,1.0
-0.08917290545963305,-0.013577390331252263,1.0
0.24329992345319007,0.04969049178468678,1.0
0.3713897025978085,0.0955560804347917,1.0
0.12244510148289796,0.038171701617582064,1.0
0.2321032705076054,0.08539921916548723,1.0
0.43986914090329815,0.18749463038544095,1.0
0.4397814393040956,0.2142292272201741,1.0
0.7006331106991565,0.38609588980688675,1.0
0.5626275947760881,0.34807607908693833,1.0
0.5660664277974669,0.3909298541125683,1.0
0.45876885181023913,0.35221696449759615,1.0
0.5769403306520917,0.4910286268163822,1.0
0.6588049550083545,0.6205349623902757,1.0
0.5466668665028296,0.5695084235687193,1.0
0.5533978356283011,0.6379170573764326,1.0
0.5675665625317818,0.7249874563782536,1.0
0.5129409614307,0.7279398674012587,1.0
0.5524027780908236,0.8743360463227762,1.0
0.5311811424883413,0.9427409196688087,1.0
0.560704702625274,1.1239596638836407,1.0
0.4566878412279552,1.0439632723592605,1.0
0.4519907771783392,1.1935447458571753,1.0
0.3811908244890067,1.1833160697807104,1.0
0.35479122170942134,1.326883060912304,1.0
0.27945537381855234,1.305302467438426,1.0
0.23460130425654546,1.448729046235145,1.0
0.168607253631907,1.5241461631596052,1.0
0.0839421932379551,1.401809798462133,1.0
0.015785703748802116,1.6715156655653487,1.0
-0.06525616058883713,1.5937357270940082,1.0
-0.14723627714510704,1.6083802418177717,1.0
-0.23174278750281183,1.6250092331953634,1.0
-0.34211291783869524,1.7596897831829954,1.0
-0.4350911126722112,1.759731571382163,1.0
-0.5485025886888175,1.8197642296718706,1.0
-0.6570205826216349,1.8391007964380535,1.0
-0.776460023438038,1.8703757041412217,1.0
-0.9843533574367976,2.070164811071677,1.0
-0.9814097184108345,1.8214087128878005,1.0
-1.0578449273536525,1.7465441453319148,1.0
-1.1006281521774908,1.6263438159875607,1.0
-1.2609929357697767,1.6749781957135874,1.0
-1.53178453635255,1.8346132049294397,1.0
-1.6214071891694608,1.7543053668080562,1.0
-1.5957074899239947,1.5609275108320357,1.0
-1.9957424222486106,1.7646262586499002,1.0
-1.954362878119952,1.559990709086726,1.0
-2.082161860664263,1.4968146225500523,1.0
-2.3471085158057403,1.514095870411849,1.0
-2.420263211023939,1.3939555681094586,1.0
-2.446881993598981,1.2496607121867422,1.0
-2.5570308313214234,1.147477141482645,1.0
-2.6672081862428225,1.0389661340752427,1.0
-2.6534970137696248,0.8825360453867147,1.0
-2.7939489756739415,0.7754094679240039,1.0
-2.9066497916558522,0.6510583134933071,1.0
-2.9162817965354244,0.500557560541474,1.0
-2.904526056753508,0.3491054046826692,1.0
-3.038425253937657,0.2107587660375935,1.0
-3.023372716275435,0.057110231130036625,1.0
-3.177933605384652,-0.10007086055272885,1.0
-3.0351977677120097,-0.24897223426907086,1.0
-3.2790390714735347,-0.436069839470039,1.0
-3.1085029507915967,-0.5739342861046574,1.0
-3.244136211095283,-0.7696733991528254,1.0
-3.3367709407498207,-0.9714721762466364,1.0
-3.3583404644264814,-1.1641268738725574,1.0
-3.331157789513176,-1.3461461800580414,1.0
-3.272862731694952,-1.5185027504958624,1.0
-3.1095060250172595,-1.6377612098581324,1.0
-3.2470658524402083,-1.9250031260100986,1.0
-3.0149062805449223,-1.9990886104407997,1.0
-3.1272371752321644,-2.3083681440527397,1.0
-3.0099031627158466,-2.4652125981911963,1.0
-2.9734478689525696,-2.6965748356647725,1.0
-2.7752947584770316,-2.784044856129454,1.0
-2.608853791141349,-2.894981205795206,1.0
-2.4616771725163176,-3.0249619204392744,1.0
-2.3426160815909904,-3.194632295301034,1.0
-2.1814775207805917,-3.3125677610488222,1.0
-2.1682975856690603,-3.68383735142921,1.0
-2.009225608572335,-3.844080019840574,1.0
-1.812727466570858,-3.9394461886214867,1.0
-1.6090091551309202,-4.017999699221044,1.0
-1.4889881255591015,-4.339615245820932,1.0
-1.222847365999532,-4.249985030988828,1.0
-1.0260714745264172,-4.3862697738002785,1.0
-0.8081360013251965,-4.455477267914792,1.0
-0.5855446071464111,-4.511656012589949,1.0
-0.369242799914525,-4.682252526159801,1.0
-0.1308917566415943,-4.618854044653016,1.0
0.10277201823886022,-4.663234068963146,1.0
0.351052734124292,-4.840223437850528,1.0
0.586017132545134,-4.749378571075771,1.0
0.8439295025273982,-4.825631619653078,1.0
1.086444847549333,-4.779838061895636,1.0
1.348248524341748,-4.799317593411707,1.0
1.5831240760929912,-4.710370141960631,1.0
1.83788518038634,-4.674611436068151,1.0
2.084277040850205,-4.605720714802587,1.0
2.412665043473942,-4.68759978507645,1.0
2.6371827390450804,-4.545677150604795,1.0
